Title,Channel,Views,Likes,Comments,Hashtags_Count,Caption_Length,Posting_Hour,Video_Link,Title_Clean,Like_Rate,Comment_Rate,Engagement_Score
I PRETENDED TO BE A NOOB THEN USED SECRET DRAGON IN ROBLOX !!,Shivang Mini,198597,6420,8850,4,429,12,https://www.youtube.com/watch?v=YHyAJqqTfaU,I PRETENDED TO BE A NOOB THEN USED SECRET DRAGON IN ROBLOX !!,3.232677230773879,4.45626066859016,12.145198567954198
#Video | #Banshidhar Chaudhary Ka Gana | Kam Nai Aitau 112 |  New Randari Song 2026,Banshidhar Chaudhary Hits,189833,1126,23,8,695,0,https://www.youtube.com/watch?v=VknywUwhj88,#Video #Banshidhar Chaudhary Ka Gana Kam Nai Aitau 112 New Randari Song 2026,0.5931529291535191,0.012115912407221083,0.6173847539679613
Vaazha 2: Biopic of a Billion Bros: Official Trailer | Releasing at PVR INOX on April 2,PVR,115951,1813,84,5,382,16,https://www.youtube.com/watch?v=PYI_dy23AuY,Vaazha 2 Biopic of a Billion Bros Official Trailer Releasing at PVR INOX on April 2,1.563591517106364,0.07244439461496667,1.7084803063362972
"Jonathan NEW Team 😳 GodLike Announcement🚨 Team Soul legit CHEATING Allegation🚀 BGMI, Team DISBAND",GamingNews15K,119275,5451,233,14,2000,13,https://www.youtube.com/watch?v=MKYKwGdfggg,"Jonathan NEW Team GodLike Announcement Team Soul legit CHEATING Allegation BGMI, Team DISBAND",4.5701110878222595,0.1953468874449801,4.960804862712219
जन्मे है हनुमान प्यारे | Janme Hai Hanuman Pyaare | Hanuman Jayanti Special | Hanuman Bhajan,Soulful Morning Bhajans ,73536,621,26,3,3165,1,https://www.youtube.com/watch?v=KRBGj6IWNmE,जनम ह हनमन पयर Janme Hai Hanuman Pyaare Hanuman Jayanti Special Hanuman Bhajan,0.8444843342036554,0.0353568320278503,0.915197998259356
Backrooms | Official Trailer HD | A24,A24,9280693,432394,22013,0,849,15,https://www.youtube.com/watch?v=0HjdiohVOik,Backrooms Official Trailer HD A24,4.659070179349753,0.23719133905194364,5.13345285745364
Franklin Tested CRAZY Cars on 799FT Drop  Which Car Survives? | GTA 5 Telugu | Dhanu Dino,DHANU DINO,154936,3793,116,20,672,10,https://www.youtube.com/watch?v=-WuY3pgm2Es,Franklin Tested CRAZY Cars on 799FT Drop Which Car Survives? GTA 5 Telugu Dhanu Dino,2.4481076057210718,0.07486962358651314,2.597846852894098
चुन्नी में चुन्नी में परफ्यूम लगावे चुन्नी म ~chunni mein chunni mein~ Sonam gujari Love Kush Meena,Khatu Bhakti Sagar,269818,907,21,39,4952,3,https://www.youtube.com/watch?v=tx1BzLBHxeU,चनन म चनन म परफयम लगव चनन म chunni mein chunni mein Sonam gujari Love Kush Meena,0.3361525176229903,0.007783024112549941,0.3517185658480902
😱 Ramayana Trailer Breakdown | Hidden Details You MISSED! (Namit Malhotra),Movies bolt,39973,1931,217,10,1693,7,https://www.youtube.com/watch?v=2diCFay7Ggo,Ramayana Trailer Breakdown Hidden Details You MISSED! Namit Malhotra,4.830760763515373,0.5428664348435194,5.916493633202412
Franklin & Shinchan Build Hidden Secret Bunker Inside Franklin’s Bed! 🛏️🕳️ | GTA 5,WasimByte,115132,1176,29,25,1144,6,https://www.youtube.com/watch?v=eMsePYPZ7hM,Franklin Shinchan Build Hidden Secret Bunker Inside Franklins Bed! GTA 5,1.0214362644616615,0.025188479310704236,1.07181322308307
